epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1998.5,1.90416,0.60736,1.28591,0.92331,0.96602,0.97788,0.50908,1.88506,0.54921,1.26993,0.000865378,0.000865378,0.000865378
43,2045.52,1.86288,0.58956,1.28746,0.91746,0.95712,0.96241,0.49598,1.9415,0.5655,1.28804,0.000824492,0.000824492,0.000824492
44,2092.53,1.9297,0.60249,1.29549,0.90715,0.9589,0.95699,0.50222,1.92341,0.56241,1.28024,0.000783933,0.000783933,0.000783933
45,2139.97,1.87145,0.59983,1.28174,0.91353,0.97652,0.9665,0.50531,1.92658,0.57484,1.28756,0.000743769,0.000743769,0.000743769
46,2187.13,1.91499,0.61036,1.30014,0.91843,0.96673,0.96933,0.50863,1.87083,0.55558,1.26545,0.000704073,0.000704073,0.000704073
47,2234.09,1.8943,0.58736,1.29517,0.9229,0.96044,0.96406,0.5133,1.8954,0.54943,1.28028,0.000664914,0.000664914,0.000664914
48,2281.29,1.89379,0.58636,1.29286,0.92391,0.97417,0.97187,0.51088,1.8664,0.54794,1.26452,0.00062636,0.00062636,0.00062636
49,2328.21,1.89059,0.57992,1.29875,0.92401,0.97065,0.9749,0.51254,1.87233,0.5405,1.26364,0.000588479,0.000588479,0.000588479
50,2375.33,1.87554,0.57853,1.28917,0.94068,0.97065,0.97428,0.51871,1.8492,0.5361,1.2569,0.000551337,0.000551337,0.000551337
51,2422.3,1.87219,0.5774,1.27588,0.93151,0.95816,0.96897,0.52685,1.85409,0.51835,1.26235,0.000515,0.000515,0.000515
52,2469.84,1.84827,0.55729,1.27665,0.92506,0.96621,0.96758,0.52508,1.86565,0.5216,1.26163,0.000479531,0.000479531,0.000479531
53,2517.05,1.85302,0.55145,1.28119,0.92781,0.96086,0.96406,0.51431,1.95228,0.52469,1.28815,0.000444994,0.000444994,0.000444994
54,2564.54,1.8148,0.54546,1.28352,0.92477,0.96673,0.96878,0.52157,1.89428,0.52782,1.27568,0.000411447,0.000411447,0.000411447
55,2611.55,1.85109,0.56927,1.27968,0.93912,0.94521,0.97003,0.52722,1.89779,0.5169,1.27274,0.00037895,0.00037895,0.00037895
56,2658.65,1.84619,0.5608,1.28467,0.93488,0.95521,0.97207,0.51718,1.91802,0.5278,1.28289,0.000347561,0.000347561,0.000347561
57,2705.59,1.86229,0.55728,1.27791,0.95309,0.96869,0.9838,0.52417,1.83997,0.51066,1.25988,0.000317333,0.000317333,0.000317333
58,2752.52,1.87169,0.5699,1.28745,0.9496,0.96869,0.98419,0.52163,1.87872,0.52272,1.26845,0.000288321,0.000288321,0.000288321
59,2799.46,1.84886,0.56451,1.27264,0.93379,0.96086,0.97031,0.50721,1.94589,0.54633,1.28854,0.000260575,0.000260575,0.000260575
60,2846.98,1.80941,0.56298,1.25844,0.93585,0.97062,0.97985,0.52952,1.85631,0.5105,1.26189,0.000234143,0.000234143,0.000234143
61,2894.17,1.82364,0.54948,1.27228,0.94679,0.95695,0.97697,0.5269,1.8537,0.51347,1.25984,0.000209073,0.000209073,0.000209073
62,2941.26,1.79422,0.54668,1.26683,0.94571,0.95443,0.97633,0.52566,1.90158,0.5203,1.27186,0.000185408,0.000185408,0.000185408
63,2988.47,1.7737,0.53708,1.24917,0.94062,0.96095,0.97404,0.52259,1.895,0.50717,1.27265,0.000163189,0.000163189,0.000163189
64,3035.47,1.80667,0.54647,1.25916,0.94555,0.95695,0.97399,0.53339,1.8602,0.50436,1.26036,0.000142456,0.000142456,0.000142456
65,3082.74,1.81001,0.53984,1.26666,0.94059,0.96086,0.97364,0.52753,1.88633,0.50637,1.2703,0.000123245,0.000123245,0.000123245
66,3152.16,1.77425,0.49534,1.3019,0.9356,0.9726,0.97511,0.53101,1.85906,0.49759,1.26128,0.00010559,0.00010559,0.00010559
67,3199,1.77911,0.49844,1.29637,0.93749,0.96477,0.97526,0.53857,1.86556,0.50008,1.26133,8.95213e-05,8.95213e-05,8.95213e-05
68,3246.11,1.76312,0.4852,1.30144,0.94107,0.96086,0.97573,0.54104,1.86524,0.49833,1.2613,7.50674e-05,7.50674e-05,7.50674e-05
